Column_Name,Data_Type,Non_Null_Count,Null_Count,Null_Percentage,Unique_Values,Is_Process_Variable,Is_Raman,Mean,Std,Min,Max
2351,float64,113935,0,0.0,50156,No,Yes,97043.6355026989,52334.25361710382,0.0,219970.0
2350,float64,113935,0,0.0,50203,No,Yes,97318.73486637117,52428.302695576764,0.0,220520.0
2349,float64,113935,0,0.0,50241,No,Yes,97505.10083819722,52520.98664069202,0.0,220970.0
2348,float64,113935,0,0.0,50163,No,Yes,97531.76503269408,52611.017359112855,0.0,221240.0
2347,float64,113935,0,0.0,50346,No,Yes,97449.51967349804,52699.39870509689,0.0,221410.0
2346,float64,113935,0,0.0,50376,No,Yes,97434.39495326283,52788.99214826117,0.0,221660.0
2345,float64,113935,0,0.0,50357,No,Yes,97629.57440645983,52882.241164804786,0.0,222070.0
2344,float64,113935,0,0.0,50273,No,Yes,97983.3556238206,52978.148000966656,0.0,222610.0
2343,float64,113935,0,0.0,50267,No,Yes,98325.33516478694,53074.010124607135,0.0,223170.0
2342,float64,113935,0,0.0,50297,No,Yes,98584.9560100057,53168.61397955457,0.0,223610.0
2341,float64,113935,0,0.0,50047,No,Yes,98842.89626541449,53263.297227587,0.0,224050.0
2340,float64,113935,0,0.0,50252,No,Yes,99176.00885592663,53359.26872290558,0.0,224590.0
2339,float64,113935,0,0.0,50116,No,Yes,99544.90778952911,53455.86339789377,0.0,225120.0
2338,float64,113935,0,0.0,50177,No,Yes,99859.07033835081,53551.61974900653,0.0,225700.0
2337,float64,113935,0,0.0,50090,No,Yes,100079.72056874534,53645.90337169476,0.0,226160.0
2336,float64,113935,0,0.0,50024,No,Yes,100222.66071883091,53739.03211097367,0.0,226560.0
2335,float64,113935,0,0.0,49917,No,Yes,100307.17936542766,53831.2282491016,0.0,226870.0
2334,float64,113935,0,0.0,50020,No,Yes,100352.12610699082,53922.95550063958,0.0,227110.0
2333,float64,113935,0,0.0,50126,No,Yes,100404.17624961601,54014.96549563967,0.0,227350.0
2332,float64,113935,0,0.0,49967,No,Yes,100531.92997761881,54108.33465623771,0.0,227680.0
2331,float64,113935,0,0.0,50066,No,Yes,100770.36592794137,54203.6017692009,0.0,228100.0
2330,float64,113935,0,0.0,50080,No,Yes,101061.12797647782,54299.79778887935,0.0,228540.0
2329,float64,113935,0,0.0,50053,No,Yes,101264.637758371,54394.58275383109,0.0,228970.0
2328,float64,113935,0,0.0,49878,No,Yes,101289.17446789837,54486.4398434767,0.0,229240.0
2327,float64,113935,0,0.0,50117,No,Yes,101225.23716153948,54576.941778889566,0.0,229450.0
2326,float64,113935,0,0.0,50221,No,Yes,101286.83944354237,54669.65348257657,0.0,229780.0
2325,float64,113935,0,0.0,50202,No,Yes,101576.32256110941,54766.02579300043,0.0,230330.0
2324,float64,113935,0,0.0,50157,No,Yes,101957.14266028877,54863.96759073874,0.0,230960.0
2323,float64,113935,0,0.0,50001,No,Yes,102209.16121472769,54959.98716358719,0.0,231500.0
2322,float64,113935,0,0.0,49953,No,Yes,102276.10977311624,55052.94941531605,0.0,231890.0
2321,float64,113935,0,0.0,50015,No,Yes,102301.35792337736,55145.41215829379,0.0,232240.0
2320,float64,113935,0,0.0,50063,No,Yes,102434.09000921578,55239.587860907915,0.0,232690.0
2319,float64,113935,0,0.0,50031,No,Yes,102670.60391977882,55335.69914252853,0.0,233240.0
2318,float64,113935,0,0.0,49930,No,Yes,102913.96097599508,55431.85158244148,0.0,233780.0
2317,float64,113935,0,0.0,49954,No,Yes,103116.67264580682,55527.48352815616,0.0,234310.0
2316,float64,113935,0,0.0,49810,No,Yes,103287.41340764471,55622.71152169804,0.0,234810.0
2315,float64,113935,0,0.0,50088,No,Yes,103417.2659507614,55717.32311393412,0.0,235240.0
2314,float64,113935,0,0.0,49908,No,Yes,103510.24553649011,55811.45539721883,0.0,235620.0
2313,float64,113935,0,0.0,49922,No,Yes,103643.45750383992,55906.35353015423,0.0,236060.0
2312,float64,113935,0,0.0,49958,No,Yes,103887.59519111774,56003.25041501314,0.0,236610.0
2311,float64,113935,0,0.0,49931,No,Yes,104198.36794224777,56101.373848985844,0.0,237270.0
2310,float64,113935,0,0.0,49737,No,Yes,104471.79875543073,56198.997474487805,0.0,237870.0
2309,float64,113935,0,0.0,49640,No,Yes,104652.88828279282,56295.2150369209,0.0,238400.0
2308,float64,113935,0,0.0,49986,No,Yes,104743.94650283056,56389.9085597129,0.0,238820.0
2307,float64,113935,0,0.0,49783,No,Yes,104798.79002413657,56484.19951375609,0.0,239160.0
2306,float64,113935,0,0.0,49804,No,Yes,104927.44263220257,56579.839807189695,0.0,239610.0
2305,float64,113935,0,0.0,49906,No,Yes,105173.39197437135,56677.4276595447,0.0,240170.0
2304,float64,113935,0,0.0,49976,No,Yes,105397.01914337122,56774.67620028051,0.0,240680.0
2303,float64,113935,0,0.0,49960,No,Yes,105450.1748760258,56869.11639761844,0.0,241020.0
2302,float64,113935,0,0.0,50120,No,Yes,105442.07693948304,56962.4729279894,0.0,241300.0
2301,float64,113935,0,0.0,49934,No,Yes,105632.6645903366,57059.1587077844,0.0,241760.0
2300,float64,113935,0,0.0,49791,No,Yes,106073.53324702682,57160.08742370678,0.0,242470.0
2299,float64,113935,0,0.0,49573,No,Yes,106537.6775723,57261.41195647856,0.0,243250.0
2298,float64,113935,0,0.0,49570,No,Yes,106800.63280554702,57359.53197435666,0.0,243820.0
2297,float64,113935,0,0.0,49817,No,Yes,106846.1015210427,57454.2262632368,0.0,244170.0
2296,float64,113935,0,0.0,49712,No,Yes,106801.36502216176,57547.449879716885,0.0,244440.0
2295,float64,113935,0,0.0,49770,No,Yes,106786.86139641024,57641.297868010384,0.0,244750.0
2294,float64,113935,0,0.0,49881,No,Yes,106848.93760214158,57736.34559982804,0.0,245140.0
2293,float64,113935,0,0.0,49897,No,Yes,106980.15122482117,57832.838772431955,0.0,245620.0
2292,float64,113935,0,0.0,49946,No,Yes,107165.89888006319,57930.29504952225,0.0,246160.0
2291,float64,113935,0,0.0,49779,No,Yes,107394.27044191863,58028.54026132219,0.0,246700.0
2290,float64,113935,0,0.0,49937,No,Yes,107637.62796945627,58127.177099744054,0.0,247270.0
2289,float64,113935,0,0.0,49859,No,Yes,107872.53520867162,58225.732708098985,0.0,247860.0
2288,float64,113935,0,0.0,49716,No,Yes,108118.26518716813,58324.52771234513,0.0,248450.0
2287,float64,113935,0,0.0,49739,No,Yes,108403.3060043007,58423.96745645086,0.0,249070.0
2286,float64,113935,0,0.0,49699,No,Yes,108694.38411462677,58523.51754415638,0.0,249650.0
2285,float64,113935,0,0.0,49726,No,Yes,108911.22709000747,58621.87570042961,0.0,250140.0
2284,float64,113935,0,0.0,49612,No,Yes,109019.14981436785,58718.53074839422,0.0,250540.0
2283,float64,113935,0,0.0,49650,No,Yes,109074.82088647036,58814.4502775471,0.0,250870.0
2282,float64,113935,0,0.0,49486,No,Yes,109173.74278316584,58911.03299048016,0.0,251280.0
2281,float64,113935,0,0.0,49724,No,Yes,109360.4786922368,59009.065511147295,0.0,251780.0
2280,float64,113935,0,0.0,49731,No,Yes,109590.33828059859,59107.924346079155,0.0,252340.0
2279,float64,113935,0,0.0,49671,No,Yes,109787.20138675561,59206.2891397517,0.0,252890.0
2278,float64,113935,0,0.0,49743,No,Yes,109930.98057664458,59303.98668370333,0.0,253390.0
2277,float64,113935,0,0.0,49787,No,Yes,110054.41032167464,59401.40595745979,0.0,253860.0
2276,float64,113935,0,0.0,49605,No,Yes,110166.53786808268,59498.672913795635,0.0,254350.0
2275,float64,113935,0,0.0,49754,No,Yes,110248.21942335542,59595.47711281677,0.0,254760.0
2274,float64,113935,0,0.0,49757,No,Yes,110330.96243472156,59692.35501219027,0.0,255180.0
2273,float64,113935,0,0.0,49649,No,Yes,110500.24978277087,59790.667959315244,0.0,255680.0
2272,float64,113935,0,0.0,49719,No,Yes,110793.83520428314,59891.1198520292,0.0,256290.0
2271,float64,113935,0,0.0,49420,No,Yes,111154.89831044017,59992.720764102145,0.0,256950.0
2270,float64,113935,0,0.0,49461,No,Yes,111497.47334006232,60094.016319829636,0.0,257610.0
2269,float64,113935,0,0.0,49453,No,Yes,111759.44874709264,60194.04974726854,0.0,258180.0
2268,float64,113935,0,0.0,49466,No,Yes,111901.3030412077,60292.182633065204,0.0,258660.0
2267,float64,113935,0,0.0,49630,No,Yes,111939.63475665949,60388.59215688636,0.0,258990.0
2266,float64,113935,0,0.0,49528,No,Yes,111987.29130644666,60485.29138294845,0.0,259330.0
2265,float64,113935,0,0.0,49523,No,Yes,112171.01185763812,60584.2634791381,0.0,259830.0
2264,float64,113935,0,0.0,49567,No,Yes,112488.19094220389,60685.466647324756,0.0,260470.0
2263,float64,113935,0,0.0,49381,No,Yes,112805.99084565761,60786.78324239172,0.0,261100.0
2262,float64,113935,0,0.0,49458,No,Yes,113012.65686575678,60886.35138498904,0.0,261600.0
2261,float64,113935,0,0.0,49413,No,Yes,113121.61758897617,60984.44089655315,0.0,262030.0
2260,float64,113935,0,0.0,49345,No,Yes,113223.07745907754,61082.48655725787,0.0,262450.0
2259,float64,113935,0,0.0,49517,No,Yes,113374.62753324264,61181.3663040929,0.0,262870.0
2258,float64,113935,0,0.0,49487,No,Yes,113554.37194014131,61280.74697644116,0.0,263330.0
2257,float64,113935,0,0.0,49506,No,Yes,113716.32800193092,61379.973887312,0.0,263770.0
2256,float64,113935,0,0.0,49465,No,Yes,113876.57313380436,61479.330930191885,0.0,264160.0
2255,float64,113935,0,0.0,49354,No,Yes,114098.72236187299,61579.69027336803,0.0,264620.0
2254,float64,113935,0,0.0,49397,No,Yes,114375.49849124502,61681.127147279396,0.0,265140.0
2253,float64,113935,0,0.0,49443,No,Yes,114601.69398077852,61781.72858446464,0.0,265600.0
2252,float64,113935,0,0.0,49485,No,Yes,114723.13798218283,61880.80984300627,0.0,265980.0
2251,float64,113935,0,0.0,49224,No,Yes,114837.66660113224,61979.81978950438,0.0,266370.0
2250,float64,113935,0,0.0,49287,No,Yes,115058.76456663887,62080.742933319496,0.0,266910.0
2249,float64,113935,0,0.0,49433,No,Yes,115333.57809452759,62182.72321519166,0.0,267470.0
2248,float64,113935,0,0.0,49320,No,Yes,115501.06095493044,62283.011877709905,0.0,267870.0
2247,float64,113935,0,0.0,49245,No,Yes,115518.33859042436,62380.95991330348,0.0,268150.0
2246,float64,113935,0,0.0,49241,No,Yes,115545.04443235177,62479.13312849208,0.0,268450.0
2245,float64,113935,0,0.0,49425,No,Yes,115771.74318339405,62580.7365654151,0.0,268920.0
2244,float64,113935,0,0.0,49221,No,Yes,116201.05184886119,62685.81835254346,0.0,269610.0
2243,float64,113935,0,0.0,49178,No,Yes,116643.02042831438,62791.16697306682,0.0,270310.0
2242,float64,113935,0,0.0,49285,No,Yes,116929.75653574406,62894.149829278096,0.0,270880.0
2241,float64,113935,0,0.0,49055,No,Yes,117084.68840303682,62994.995776733136,0.0,271350.0
2240,float64,113935,0,0.0,49101,No,Yes,117241.37349980253,63096.0787912934,0.0,271810.0
2239,float64,113935,0,0.0,49097,No,Yes,117450.91465396938,63198.21120903499,0.0,272280.0
2238,float64,113935,0,0.0,49153,No,Yes,117641.55544828191,63300.17966178257,0.0,272690.0
2237,float64,113935,0,0.0,49281,No,Yes,117730.78158950279,63400.57941391933,0.0,273040.0
2236,float64,113935,0,0.0,49374,No,Yes,117711.85176021415,63499.315230238,0.0,273280.0
2235,float64,113935,0,0.0,49382,No,Yes,117665.87180497653,63597.76207392956,0.0,273520.0
2234,float64,113935,0,0.0,49332,No,Yes,117725.28258568482,63698.071247105036,0.0,273900.0
2233,float64,113935,0,0.0,49419,No,Yes,117954.89067011893,63801.28886221346,0.0,274490.0
2232,float64,113935,0,0.0,49347,No,Yes,118244.80714881292,63905.560202980625,0.0,275100.0
2231,float64,113935,0,0.0,49289,No,Yes,118426.57955852021,64008.15612702057,0.0,275600.0
2230,float64,113935,0,0.0,49197,No,Yes,118512.60983894326,64109.334783860766,0.0,275990.0
2229,float64,113935,0,0.0,49324,No,Yes,118676.963280818,64211.8199085942,0.0,276460.0
2228,float64,113935,0,0.0,49191,No,Yes,118982.08564181332,64316.750954324605,0.0,277030.0
2227,float64,113935,0,0.0,49054,No,Yes,119298.45875279765,64421.937611210575,0.0,277570.0
2226,float64,113935,0,0.0,49086,No,Yes,119526.7497292316,64525.78493551419,0.0,277980.0
2225,float64,113935,0,0.0,49167,No,Yes,119713.92248036161,64628.99786983709,0.0,278310.0
2224,float64,113935,0,0.0,49188,No,Yes,119906.93823144776,64732.40049588547,0.0,278650.0
2223,float64,113935,0,0.0,49170,No,Yes,120072.08346162287,64835.48540536731,0.0,278950.0
2222,float64,113935,0,0.0,49182,No,Yes,120211.50121297232,64938.1501388328,0.0,279240.0
2221,float64,113935,0,0.0,49287,No,Yes,120400.13151445998,65041.74260797771,0.0,279570.0
2220,float64,113935,0,0.0,49000,No,Yes,120652.65858252512,65146.45179605234,0.0,279990.0
2219,float64,113935,0,0.0,49147,No,Yes,120882.51421336728,65250.85729813956,0.0,280400.0
2218,float64,113935,0,0.0,49111,No,Yes,121039.21688418835,65354.107252379814,0.0,280740.0
2217,float64,113935,0,0.0,49125,No,Yes,121181.2363847808,65457.13706041723,0.0,281090.0
2216,float64,113935,0,0.0,49151,No,Yes,121370.38060911924,65560.99755166157,0.0,281440.0
2215,float64,113935,0,0.0,49071,No,Yes,121580.02697766271,65665.15746904517,0.0,281840.0
2214,float64,113935,0,0.0,48932,No,Yes,121758.67216746391,65768.83956591302,0.0,282240.0
2213,float64,113935,0,0.0,49028,No,Yes,121926.90059419845,65872.39992517479,0.0,282660.0
2212,float64,113935,0,0.0,49038,No,Yes,122149.71673410277,65976.89870637574,0.0,283110.0
2211,float64,113935,0,0.0,48991,No,Yes,122431.42668626849,66082.46006312774,0.0,283640.0
2210,float64,113935,0,0.0,49008,No,Yes,122703.07677886514,66187.82864637712,0.0,284150.0
2209,float64,113935,0,0.0,48977,No,Yes,122923.3128362663,66292.39131629455,0.0,284600.0
2208,float64,113935,0,0.0,48921,No,Yes,123125.73214464387,66396.78975382804,0.0,285010.0
2207,float64,113935,0,0.0,49058,No,Yes,123333.94523895203,66501.4504007942,0.0,285450.0
2206,float64,113935,0,0.0,49020,No,Yes,123502.41253258438,66605.49862161044,0.0,285880.0
2205,float64,113935,0,0.0,48978,No,Yes,123600.6635608022,66708.53522112881,0.0,286250.0
2204,float64,113935,0,0.0,49008,No,Yes,123692.5290858823,66811.5230501164,0.0,286620.0
2203,float64,113935,0,0.0,48954,No,Yes,123857.48909817002,66915.70587040421,0.0,287080.0
2202,float64,113935,0,0.0,48919,No,Yes,124078.21625312678,67020.8688308343,0.0,287630.0
2201,float64,113935,0,0.0,48960,No,Yes,124281.44072848554,67125.83284953392,0.0,288180.0
2200,float64,113935,0,0.0,48973,No,Yes,124457.08998727346,67230.37410785069,0.0,288720.0
2199,float64,113935,0,0.0,49032,No,Yes,124659.75373765742,67335.35929513871,0.0,289310.0
2198,float64,113935,0,0.0,49031,No,Yes,124902.84888927898,67441.07404219123,0.0,289970.0
2197,float64,113935,0,0.0,49001,No,Yes,125118.61510334839,67546.42461960226,0.0,290570.0
2196,float64,113935,0,0.0,49075,No,Yes,125246.01029271077,67650.40759128076,0.0,291090.0
2195,float64,113935,0,0.0,48973,No,Yes,125319.93601878264,67753.52531912738,0.0,291550.0
2194,float64,113935,0,0.0,48972,No,Yes,125435.97778206873,67857.43219646315,0.0,292030.0
2193,float64,113935,0,0.0,49019,No,Yes,125632.51465660246,67962.69687571566,0.0,292560.0
2192,float64,113935,0,0.0,49009,No,Yes,125847.71477333568,68068.34136993698,0.0,293070.0
2191,float64,113935,0,0.0,48934,No,Yes,126007.84330539343,68173.19253249411,0.0,293560.0
2190,float64,113935,0,0.0,49011,No,Yes,126120.64900337912,68277.46235382407,0.0,294000.0
2189,float64,113935,0,0.0,49093,No,Yes,126253.31535349102,68382.22670684397,0.0,294420.0
2188,float64,113935,0,0.0,48960,No,Yes,126452.67886953088,68488.16926661544,0.0,294910.0
2187,float64,113935,0,0.0,49034,No,Yes,126719.65630052223,68595.3038262375,0.0,295490.0
2186,float64,113935,0,0.0,49003,No,Yes,127030.35404133936,68703.17114620247,0.0,296070.0
2185,float64,113935,0,0.0,48957,No,Yes,127346.32383025408,68811.2892147135,0.0,296640.0
2184,float64,113935,0,0.0,48753,No,Yes,127631.48977926011,68918.94957422861,0.0,297160.0
2183,float64,113935,0,0.0,48783,No,Yes,127892.40404265591,69026.29267944534,0.0,297670.0
2182,float64,113935,0,0.0,48795,No,Yes,128174.97485583887,69133.92092725215,0.0,298230.0
2181,float64,113935,0,0.0,48809,No,Yes,128489.78915873085,69242.08612110591,0.0,298800.0
2180,float64,113935,0,0.0,48693,No,Yes,128768.83711677711,69349.76590986903,0.0,299330.0
2179,float64,113935,0,0.0,48796,No,Yes,128934.31229472945,69455.82226232773,0.0,299730.0
2178,float64,113935,0,0.0,48685,No,Yes,128995.14629393953,69560.31525791844,0.0,300020.0
2177,float64,113935,0,0.0,48830,No,Yes,129038.74222407512,69664.651801592,0.0,300280.0
2176,float64,113935,0,0.0,48756,No,Yes,129129.67104138323,69769.95209913768,0.0,300580.0
2175,float64,113935,0,0.0,48996,No,Yes,129253.76196252249,69875.99439661771,0.0,300900.0
2174,float64,113935,0,0.0,48897,No,Yes,129375.73931101068,69982.0774866505,0.0,301210.0
2173,float64,113935,0,0.0,48930,No,Yes,129509.97999297845,70088.42687709755,0.0,301560.0
2172,float64,113935,0,0.0,49001,No,Yes,129697.78744810638,70195.69339576937,0.0,301940.0
2171,float64,113935,0,0.0,48927,No,Yes,129936.37368850662,70303.84094965337,0.0,302340.0
2170,float64,113935,0,0.0,48806,No,Yes,130182.53413349717,70412.32579632827,0.0,302760.0
